Place,Player,Alias,Character(s),Event Name,Year,Game Played,Top Character,Reasoning
1st,Jason Cole,AfroCole,Dhalsim,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
3rd,Jason de Heras,Shirts,O. Dhalsim,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
4th,Jason Gonzales,Apoc,Vega,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
5th,John Choi,ChoiBoy,O. Sagat,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
5th,Tatsuya Makino,Mester,Vega,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
7th,Jason Nelson,xrolento,M. Bison,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
7th,Jesse Cardenas,Jumpsuit Jesse,Ken/Fei Long,EVO 2002[],2002,Super Street Fighter II Turbo,Ken,"Fan favorite with aggressive and flashy playstyle, excelling in 3rd Strike."
1st,Daigo Umehara,The Beast,Ryu,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
3rd,John Choi,ChoiBoy,O. Sagat,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
4th,Mike Watson,Watts,"Balrog,Ryu",EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
5th,Jason Cole,AfroCole,Dhalsim,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
5th,Alex Valle,CaliPower,Ryu,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
7th,David Spence,,Dhalsim,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
7th,David Sirlin,Sirlin,M. Bison/Dhalsim,EVO 2003[],2003,Super Street Fighter II Turbo,Yun,Technically superior with Genei Jin super in 3rd Strike tournaments.
