Place,Player,Alias,Character(s),Event Name,Year,Game Played
1st,Jason Cole,AfroCole,Dhalsim,EVO 2002[],2002,Super Street Fighter II Turbo
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2002[],2002,Super Street Fighter II Turbo
3rd,Jason de Heras,Shirts,O. Dhalsim,EVO 2002[],2002,Super Street Fighter II Turbo
4th,Jason Gonzales,Apoc,Vega,EVO 2002[],2002,Super Street Fighter II Turbo
5th,John Choi,ChoiBoy,O. Sagat,EVO 2002[],2002,Super Street Fighter II Turbo
5th,Tatsuya Makino,Mester,Vega,EVO 2002[],2002,Super Street Fighter II Turbo
7th,Jason Nelson,xrolento,M. Bison,EVO 2002[],2002,Super Street Fighter II Turbo
7th,Jesse Cardenas,Jumpsuit Jesse,Ken/Fei Long,EVO 2002[],2002,Super Street Fighter II Turbo
1st,Daigo Umehara,The Beast,Ryu,EVO 2003[],2003,Super Street Fighter II Turbo
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2003[],2003,Super Street Fighter II Turbo
3rd,John Choi,ChoiBoy,O. Sagat,EVO 2003[],2003,Super Street Fighter II Turbo
4th,Mike Watson,Watts,Balrog/Ryu,EVO 2003[],2003,Super Street Fighter II Turbo
5th,Jason Cole,AfroCole,Dhalsim,EVO 2003[],2003,Super Street Fighter II Turbo
5th,Alex Valle,CaliPower,Ryu,EVO 2003[],2003,Super Street Fighter II Turbo
7th,David Spence,,Dhalsim,EVO 2003[],2003,Super Street Fighter II Turbo
7th,David Sirlin,Sirlin,M. Bison/Dhalsim,EVO 2003[],2003,Super Street Fighter II Turbo
1st,Kenji Obata,KO,Yun,EVO 2003[],2003,Street Fighter III: 3rd Strike
2nd,Daigo Umehara,The Beast,Ken,EVO 2003[],2003,Street Fighter III: 3rd Strike
3rd,Keisuke Imai,KSK,Alex,EVO 2003[],2003,Street Fighter III: 3rd Strike
4th,Tetsuya Inoue,Ino,Yun/Makoto,EVO 2003[],2003,Street Fighter III: 3rd Strike
5th,Ricky Ortiz,Hel-o Kit-e,Chun-Li,EVO 2003[],2003,Street Fighter III: 3rd Strike
5th,Hsien Chang,,Ken,EVO 2003[],2003,Street Fighter III: 3rd Strike
7th,Shinya Ohnuki,Nuki,Chun-Li,EVO 2003[],2003,Street Fighter III: 3rd Strike
7th,Mark Royogski,Mopreme,Ken/Chun-Li,EVO 2003[],2003,Street Fighter III: 3rd Strike
1st,Daigo Umehara,The Beast,O. Sagat/Ryu/Balrog,EVO 2004[],2004,Super Street Fighter II Turbo
2nd,John Choi,ChoiBoy,O. Sagat/Guile,EVO 2004[],2004,Super Street Fighter II Turbo
3rd,Kuni Funada,,Zangief,EVO 2004[],2004,Super Street Fighter II Turbo
4th,Justin Wong,JWonggg,O. Sagat/Chun-Li,EVO 2004[],2004,Super Street Fighter II Turbo
5th,Wes Truelson,,Ken/Balrog,EVO 2004[],2004,Super Street Fighter II Turbo
5th,Alex Valle,CaliPower,Ryu/O. Sagat,EVO 2004[],2004,Super Street Fighter II Turbo
7th,Jesse Howard,,Ryu,EVO 2004[],2004,Super Street Fighter II Turbo
7th,Seth Killian,s-kill,Unknown,EVO 2004[],2004,Super Street Fighter II Turbo
1st,Kenji Obata,KO,Yun,EVO 2004[],2004,Street Fighter III: 3rd Strike
2nd,Daigo Umehara,The Beast,Ken,EVO 2004[],2004,Street Fighter III: 3rd Strike
3rd,Justin Wong,JWonggg,Chun-Li,EVO 2004[],2004,Street Fighter III: 3rd Strike
4th,Toru Hashimoto,Raoh,Chun-Li,EVO 2004[],2004,Street Fighter III: 3rd Strike
5th,Keisuke Imai,KSK,Alex,EVO 2004[],2004,Street Fighter III: 3rd Strike
5th,Katsuhisa Ohta,Kokujin,Dudley,EVO 2004[],2004,Street Fighter III: 3rd Strike
7th,Hsien Chang,,Ken,EVO 2004[],2004,Street Fighter III: 3rd Strike
7th,Mike Watson,Watts,Ken,EVO 2004[],2004,Street Fighter III: 3rd Strike
1st,Unknown,Gian,Dhalsim,EVO 2005[],2005,Super Street Fighter II Turbo
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo
3rd,Hajime Taniguchi,Tokido,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo
4th,Phil Burnell,DSP,Dee Jay/Vega,EVO 2005[],2005,Super Street Fighter II Turbo
5th,Campbell Tran,Buktooth,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo
5th,Nicholas Inabnit,NKI,Chun-Li,EVO 2005[],2005,Super Street Fighter II Turbo
7th,Peter Hinh,illshill,E. Honda,EVO 2005[],2005,Super Street Fighter II Turbo
7th,Jason Cole,AfroCole,Dhalsim,EVO 2005[],2005,Super Street Fighter II Turbo
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike
2nd,Justin Wong,JWonggg,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike
3rd,Yoshihiko Togawa,Nitto,Yun,EVO 2005[],2005,Street Fighter III: 3rd Strike
4th,Tatsuya Makino,Mester,Yun,EVO 2005[],2005,Street Fighter III: 3rd Strike
5th,Ricky Ortiz,Hel-o Kit-e,Chun-Li/Ken,EVO 2005[],2005,Street Fighter III: 3rd Strike
5th,Katsuhisa Ohta,Kokujin,Dudley,EVO 2005[],2005,Street Fighter III: 3rd Strike
7th,Joe Egami,MOV,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike
7th,Ryota Fukumoto,RF,Chun-Li,EVO 2005[],2005,Street Fighter III: 3rd Strike
1st,Yoshihiko Togawa,Nitto,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike
2nd,Issei Suzuki,,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike
3rd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2006[],2006,Street Fighter III: 3rd Strike
4th,Tatsuya Makino,Mester,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike
5th,Hajime Taniguchi,Tokido,Chun-Li/Urien,EVO 2006[],2006,Street Fighter III: 3rd Strike
5th,Michael Fauson,Pyrolee,Yun,EVO 2006[],2006,Street Fighter III: 3rd Strike
7th,Alex Valle,CaliPower,Ken,EVO 2006[],2006,Street Fighter III: 3rd Strike
7th,Amir Amirsaleh,,Chun-Li,EVO 2006[],2006,Street Fighter III: 3rd Strike
1st,Hajime Taniguchi,Tokido,Vega,EVO 2007[],2007,Super Street Fighter II Turbo
2nd,John Choi,ChoiBoy,Ryu/O. Sagat,EVO 2007[],2007,Super Street Fighter II Turbo
3rd,Graham Wolfe,,Balrog/Vega,EVO 2007[],2007,Super Street Fighter II Turbo
4th,Jason Nguyen,AfroLegends,Dee Jay/Balrog,EVO 2007[],2007,Super Street Fighter II Turbo
5th,David Sirlin,Sirlin,M. Bison/Vega/E. Honda,EVO 2007[],2007,Super Street Fighter II Turbo
5th,Nicholas Inabnit,NKI,Chun-Li,EVO 2007[],2007,Super Street Fighter II Turbo
7th,Alex Valle,CaliPower,Ryu,EVO 2007[],2007,Super Street Fighter II Turbo
7th,Shinya Ohnuki,Nuki,Chun-Li,EVO 2007[],2007,Super Street Fighter II Turbo
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike
2nd,Hajime Tanaguchi,Tokido,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike
3rd,Alex Valle,CaliPower,Ken/Ryu,EVO 2007[],2007,Street Fighter III: 3rd Strike
4th,Mike Wakefield,,Makoto,EVO 2007[],2007,Street Fighter III: 3rd Strike
5th,David Hem,asianhitler,Necro,EVO 2007[],2007,Street Fighter III: 3rd Strike
5th,Ryan Harvey,Fubarduck,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike
7th,Ed Ma,,Ken,EVO 2007[],2007,Street Fighter III: 3rd Strike
7th,Ricky Ortiz,Hel-o Kit-e,Chun-Li,EVO 2007[],2007,Street Fighter III: 3rd Strike
1st,John Choi,ChoiBoy,Ryu,EVO 2008[],2008,Super Street Fighter II Turbo
2nd,Shinya Ohnuki,Nuki,Chun-Li,EVO 2008[],2008,Super Street Fighter II Turbo
3rd,Alex Valle,CaliPower,Ryu,EVO 2008[],2008,Super Street Fighter II Turbo
4th,Hajime Tanaguchi,Tokido,Vega,EVO 2008[],2008,Super Street Fighter II Turbo
5th,Unknown,Kusumondo,E. Honda,EVO 2008[],2008,Super Street Fighter II Turbo
5th,David Sirlin,Sirlin,M. Bison,EVO 2008[],2008,Super Street Fighter II Turbo
7th,Justin Wong,JWonggg,O. Sagat,EVO 2008[],2008,Super Street Fighter II Turbo
7th,Jason de Heras,Shirts,Dhalsim,EVO 2008[],2008,Super Street Fighter II Turbo
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
2nd,Justin Wong,JWongg,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
3rd,Amir Amirsaleh,,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
4th,Hajime Tanguchi,Tokido,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
5th,Ryan Harvey,Fubarduck,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
5th,J.R. Rodriguez,,Akuma,EVO 2008[],2008,Street Fighter III: 3rd Strike
7th,Mike Watson,Watts,Ken,EVO 2008[],2008,Street Fighter III: 3rd Strike
7th,Ryan Hart,Prodigal Son,Yun/Ken,EVO 2008[],2008,Street Fighter III: 3rd Strike
1st,Daigo Umehara,The Beast,Ryu,EVO 2009[],2009,Street Fighter IV
2nd,Justin Wong,JWonggg,Rufus/Balrog/Abel,EVO 2009[],2009,Street Fighter IV
